siren,siret_siege,nom_entreprise,personne_morale,entreprise_cessee,statut_rcs,forme_juridique,categorie_juridique,code_naf,libelle_code_naf,domaine_activite,tranche_effectif,effectif_min,effectif_max,annee_effectif,date_creation,ville,code_postal,code_commune,adresse_ligne_1,adresse_ligne_2,departement,dropcontact_status,dropcontact_request_id,dropcontact_email_selected,dropcontact_email_selected_qualification,dropcontact_email_candidates,dropcontact_credits_left_after_post
528284441,52828444100052,LANGUAGE CONNEXION FRANCE,True,0,Inscrit,SA à conseil d'administration (s.a.i.),5599,85.59B,Autres enseignements,Enseignement,22,100,199,2022,2010-11-10,BOULOGNE-BILLANCOURT,92100,92012,10 RUE DE L'EST,,75,skipped_missing_required_fields,,,,,
452256258,45225625800016,SELAS PHARMACIE DU FOUR BONAPARTE,True,0,Inscrit,Société d'exercice libéral par action simplifiée,5785,47.73Z,Commerce de détail de produits pharmaceutiques en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",22,100,199,2022,2004-02-24,PARIS,75006,75106,26 RUE DU FOUR,,75,skipped_missing_required_fields,,,,,
792791329,79279132900016,SIMPLON.CO,True,0,Inscrit,"SAS, société par actions simplifiée",5710,85.59A,Formation continue d'adultes,Enseignement,31,200,249,2023,2013-04-25,MONTREUIL,93100,93048,55 RUE DE VINCENNES,,75,skipped_missing_required_fields,,,,,
529505273,52950527300050,NEXTON CONSULTING,True,0,Inscrit,"SAS, société par actions simplifiée",5710,62.01Z,Programmation informatique,"Programmation, conseil et autres activités informatiques",32,250,499,2022,2010-12-22,PARIS,75002,75102,5 RUE SAINT-FIACRE,5-7,75,skipped_missing_required_fields,,,,,
390230878,39023087800188,AMT TRANSFERT,True,0,Inscrit,"SAS, société par actions simplifiée",5710,49.42Z,Services de déménagement,Transports terrestres et transport par conduites,21,50,99,2022,1993-01-02,COURBEVOIE,92400,92026,130 RUE DE NORMANDIE,,75,skipped_missing_required_fields,,,,,
784353443,78435344300038,EUROPE MATH,True,0,Inscrit,"SARL, société à responsabilité limitée",5499,85.31Z,Enseignement secondaire général,Enseignement,21,50,99,2022,1973-04-30,PARIS,75009,75109,64 B RUE TAITBOUT,,75,skipped_missing_required_fields,,,,,
413925942,41392594200042,VICTORIA APPLIQUEE,True,0,Inscrit,"SARL, société à responsabilité limitée",5499,81.21Z,Nettoyage courant des bâtiments,Services relatifs aux bâtiments et aménagement paysager,21,50,99,2022,1997-10-02,PARIS,75012,75112,12 AVENUE DE CORBERA,,75,skipped_missing_required_fields,,,,,
410254551,41025455100022,STEF LOGISTIQUE LE PLESSIS BELLEVILLE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,52.10A,Entreposage et stockage frigorifique,Entreposage et services auxiliaires des transports,22,100,199,2022,1996-12-17,LE PLESSIS-BELLEVILLE,60330,60500,19 AVENUE DES MEUNIERS,ZI,75,skipped_missing_required_fields,,,,,
814500757,81450075701267,SAFM,True,0,Inscrit,"SAS, société par actions simplifiée",5710,96.03Z,Services funéraires,Autres services personnels,32,250,499,2023,2015-09-30,PARIS,75013,75113,62 RUE JEANNE D'ARC,62-68,75,skipped_missing_required_fields,,,,,
388589269,38858926900058,SECAFI EXPERTISE,True,0,Inscrit,SA à conseil d'administration (s.a.i.),5599,69.20Z,Activités comptables,Activités comptables,21,50,99,2022,1992-09-11,PARIS,75013,75113,20 RUE MARTIN BERNARD,20-24,75,skipped_missing_required_fields,,,,,
400840476,40084047600115,BASILIADE,True,0,Inscrit,Association déclarée,9220,87.90B,Hébergement social pour adultes et familles en difficultés et autre hébergement social,Hébergement médico-social et social,22,100,199,2023,1994-09-01,PARIS,75011,75111,6 RUE DU CHEMIN VERT,,75,skipped_missing_required_fields,,,,,
342133345,34213334500088,AUDITOIRE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,90.02Z,Activités de soutien au spectacle vivant,"Activités créatives, artistiques et de spectacle",22,100,199,2023,1987-08-12,PARIS,75016,75116,44 RUE COPERNIC,,75,skipped_missing_required_fields,,,,,
844191981,84419198100084,CARVEN FRANCE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,46.42Z,Commerce de gros (commerce interentreprises) d'habillement et de chaussures,"Commerce de gros, à l'exception des automobiles et des motocycles",21,50,99,2022,2018-11-23,PARIS,75008,75108,4 ROND-POINT DES CHAMPS ELYSEES-MARCEL DASSAULT,4-6,75,skipped_missing_required_fields,,,,,
