nom,commune,code_postal,gestionnaire,adresse_l1,telephone,email,site_web,sous_categories,habitat_type,eligibilite_avp,presentation,departement,source,date_extraction,public_cible
Résidence Services Victoria Palazzo,Marseille,13002,Victoria-Palazzo,96 Rue de la republique,02  04 84 34 01,,https://www.victoria-palazzo.com/marseille/,Résidence services seniors,residence,a_verifier,,13,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Les Girandières -,Marseille,13006,Girandieres,150 Rue de lodi,06  08 00 96 99,,https://www.girandieres.com/residences-seniors/provence-alpes-cote-d-azur/marseille-316.html,Résidence services seniors,residence,a_verifier,,13,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Senioriales de,Charleval,13350,Senioriales,1 Boulevard de la Durance,05 62 47 94 94,,https://www.senioriales.com/louer/provence-alpes-cote-dazur/senioriales-de-charleval,Résidence services seniors,residence,a_verifier,,13,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Emmanuel,Aix-en-Provence,13100,Residence-Emmanuel-Adar,7 Boulevard du Roi René,09 85 60 94 01,,https://www.residence-emmanuel-adar.com/fr/,Résidence services seniors,residence,a_verifier,,13,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Oh Activ -,Salon-de-Provence,13300,Ohactiv,125 Boulevard Georges Clémenceau,04 30 31 01 13,,https://www.ohactiv.fr/residence-senior/residence-senior-salon-de-provence/,Résidence services seniors,residence,a_verifier,,13,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Les Villages d'Or La Fare les Oliviers,La Fare-les-Oliviers,13580,Les-Villages-Dor,600 Route des Oliviers,08 00 00 79 29,,https://www.les-villages-dor.com/senior/les-villages-d-or-la-fare-les-oliviers,Résidence services seniors,residence,a_verifier,,13,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Aquarelia -,La Destrousse,13112,Aquarelia,la Verrerie,04 42 18 47 00,,https://aquarelia.fr/residences-seniors/residence-senior-la-destrousse/,Résidence services seniors,residence,a_verifier,,13,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services L'Aubier de Tilia,Châteaurenard,13160,Domitys,Chemin du Tilleul,02 47 51 70 00,,https://www.domitys.fr/residence-services-senior/provence-alpes-cote-dazur/bouches-du-rhone-13/chateaurenard-laubier-de-tilia-13?at_campaign=chateaurenard&amp;at_medium=pm&amp;at_source=gmb&amp;utm_campaign=chate,Résidence services seniors,residence,a_verifier,,13,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Montana Bouc Bel Air,Bouc-Bel-Air,13320,Residences-Montana,264 Boulevard de Valcros,04 42 52 90 90,,https://www.residences-montana.com/fr/vos-montana/montana-bouc-bel-air,Résidence services seniors,residence,a_verifier,,13,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Les Jardins d'Arcadie,Marseille,13003,Jardins-Arcadie,Boulevard de strasbourg,03  04 91 67 17,,https://jardins-arcadie.fr/residence/residence-seniors-marseille-carre-saint-lazare,Résidence services seniors,residence,a_verifier,,13,pour-les-personnes-agees.gouv.fr,,personnes_agees
