nom,commune,code_postal,gestionnaire,adresse_l1,telephone,email,site_web,sous_categories,habitat_type,eligibilite_avp,presentation,departement,source,date_extraction,public_cible
Résidence Services La Courtine,Melun,77000,Domitys,2 Rue du Capitaine Bastien,01 85 53 90 48,,https://www.domitys.fr/residence-services-senior/ile-de-france/seine-et-marne-77/melun-la-courtine-77,Résidence services seniors,residence,a_verifier,,77,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Les Girandières le clos Bailly,Bailly-Romainvilliers,77700,Girandieres,34 Rue du Bois de Trou,08 00 96 99 96,,https://www.girandieres.com/residences-seniors/ile-de-france/bailly-romainvilliers-317.html,Résidence services seniors,residence,a_verifier,,77,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Les Girandières,Meaux,77100,Girandieres,31 Rue du Maréchal de Luxembourg,08 00 96 99 96,,https://www.girandieres.com/residences-seniors/ile-de-france/meaux-270.html,Résidence services seniors,residence,a_verifier,,77,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Les Girandières,Moissy-Cramayel,77550,Girandieres,2 Avenue de l’Europe,08 00 96 99 96,,https://www.girandieres.com/residences-seniors/ile-de-france/moissy-cramayel-384.html?utm_source=GMB&amp;utm_medium=organic&amp;utm_campaign=SEO,Résidence services seniors,residence,a_verifier,,77,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Les Jardins d'Arcadie -,Avon,77210,Jardins-Arcadie,54 Avenue Franklin Roosevelt,01 60 71 54 60,,https://jardins-arcadie.fr/residence/residence-seniors-avon,Résidence services seniors,residence,a_verifier,,77,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Les Jardins d'Arcadie -,Lagny-sur-Marne,77400,Jardins-Arcadie,11 Rue Vacheresse,01 60 31 12 80,,https://jardins-arcadie.fr/residence/residence-seniors-lagny-sur-marne,Résidence services seniors,residence,a_verifier,,77,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Les Jardins d’Arcadie,Meaux,77100,Jardins-Arcadie,25 Rue des Cordeliers,01 81 73 03 00,,https://jardins-arcadie.fr/residence/residence-seniors-meaux/,Résidence services seniors,residence,a_verifier,,77,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Les Notes Florales,Combs-la-Ville,77380,Domitys,3 Avenue de la République,01 85 53 90 49,,https://www.domitys.fr/residence-services-senior/ile-de-france/seine-et-marne-77/combs-la-ville-les-notes-florales-77,Résidence services seniors,residence,a_verifier,,77,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Les Templitudes Bois de Chigny,Chanteloup-en-Brie,77600,Domusvi,35 Rue des Champs Robailles,01 64 44 56 00,,https://www.domusvi.com/residences-seniors/seine-et-marne-77/les-templitudes-bois-de-chigny,Résidence services seniors,residence,a_verifier,,77,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Les Terrasses du Lac,Torcy,77200,Colisee,5 Avenue Jean Moulin,01 60 37 20 00,,https://colisee.fr/residences/residence-senior-a-torcy-les-terrasses-du-lac/,Résidence services seniors,residence,a_verifier,,77,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Les Villages d'Or,Savigny-le-Temple,77176,Les-Villages-Dor,1 Rue de l’Ancien Collège,08 00 00 79 29,,https://www.les-villages-dor.com/residences-seniors/les-villages-d-or-savigny-le-temple,Résidence services seniors,residence,a_verifier,,77,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Loreden à,La Rochette,77000,Loreden,69 Rue Honore Daumier,05 56 07 77 03,,https://www.loreden.fr/residence-loreden-la-rochette/,Résidence services seniors,residence,a_verifier,,77,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Megarine,Saint-Barthélemy,77320,Residencemegarine77,4 rue du vieux pré,06 13 50 89 61,,http://residencemegarine77.e-monsite.com,Résidence services seniors,residence,a_verifier,,77,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Palazzo -,Chessy,77700,Victoria-Palazzo,6 Avenue Hergé,08 00 96 00 90,,https://www.victoria-palazzo.com/chessy/?utm_source=GMB&amp;utm_medium=organic&amp;utm_campaign=SEO,Résidence services seniors,residence,a_verifier,,77,pour-les-personnes-agees.gouv.fr,,personnes_agees
