nom,commune,code_postal,gestionnaire,adresse_l1,telephone,email,site_web,sous_categories,habitat_type,eligibilite_avp,presentation,departement,source,date_extraction,public_cible
Résidence Services Les Jardins d’Artois,Arras,62000,Cogedim-Club,27 Allee du General Schramm,07 86 12 17 16,,https://www.cogedim-club.fr/residences/jardins-dartois-votre-residence-services-seniors-arras/?at_medium=CPC&amp;at_source=CPC_branding&amp;at_campaign=branding&amp;gclid=Cj0KCQjwzdOlBhCNARIsAPMwjbwpn-acYAQrL1xNe,Résidence services seniors,residence,a_verifier,,62,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Perle d'Opale,Le Touquet-Paris-Plage,62520,Cogedim-Club,45 Rue Joseph Duboc,06 67 27 39 87,,https://www.cogedim-club.fr/residences/letouquet-residence-services-seniors-perle-dopale/,Résidence services seniors,residence,a_verifier,,62,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Le fil de Soie,Calais,62100,Domitys,18 Rue Van Grutten,03 59 28 48 68,,https://www.domitys.fr/residence-services-senior/hauts-de-france/pas-de-calais-62/calais-le-fil-de-soie-62?at_campaign=calais&amp;at_medium=pm&amp;at_source=gmb&amp;utm_campaign=calais&amp;utm_medium=pm&amp;utm_source=gm,Résidence services seniors,residence,a_verifier,,62,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services L'Atlas,Arras,62000,Domitys,14 Boulevard Robert Schuman,03 59 28 48 76,,https://www.domitys.fr/residence-services-senior/hauts-de-france/pas-de-calais-62/arras-latlas-62,Résidence services seniors,residence,a_verifier,,62,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services L'Elyme des Sables,Neufchâtel-Hardelot,62152,Domitys,Rue des Anglais,03 59 28 72 06,,https://www.domitys.fr/residence-services-senior/hauts-de-france/pas-de-calais-62/hardelot-lelyme-des-sables-62,Résidence services seniors,residence,a_verifier,,62,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Le Saphir,Béthune,62400,Heurus,Rue de l'Ile des Brosses,06 34 30 97 76,,https://www.heurus.com/residence/le-saphir/,Résidence services seniors,residence,a_verifier,,62,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Le Céleste,Liévin,62800,Residences-Mobicap,67 Rue François Furmaniak,03 74 09 03 09,,https://residences-mobicap.fr/residence/62-lievin/,Résidence services seniors,residence,a_verifier,,62,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Mobicap Le Cyrano,Arras,62000,Residences-Mobicap,6 rue Dubois de Fosseux,03 74 09 03 09,,https://residences-mobicap.fr/residence/appartements-a-arras-pour-personnes-agees-ou-pmr-au-meilleur-tarif/,Résidence services seniors,residence,a_verifier,,62,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Le Liberté,Boulogne-sur-Mer,62200,Residences-Mobicap,20 Boulevard Beaucerf,03 74 09 03 09,,https://residences-mobicap.fr/residence/location-dappartements-seniors-a-boulogne-sur-mer-62-pas-de-calais-meilleur-prix-mobicap/,Résidence services seniors,residence,a_verifier,,62,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Le Tandem,Lens,62300,Domitys,106 Avenue Alfred Maës,03 59 28 72 07,,https://www.domitys.fr/residence-services-senior/hauts-de-france/pas-de-calais-62/lens-le-tandem-62,Résidence services seniors,residence,a_verifier,,62,pour-les-personnes-agees.gouv.fr,,personnes_agees
