siren,siret_siege,nom_entreprise,personne_morale,entreprise_cessee,statut_rcs,forme_juridique,categorie_juridique,code_naf,libelle_code_naf,domaine_activite,tranche_effectif,effectif_min,effectif_max,annee_effectif,date_creation,ville,code_postal,code_commune,adresse_ligne_1,adresse_ligne_2,departement
775719511,77571951100021,GARAGE REMPART COMMERCE AUTOS REPARATION,True,0,Inscrit,"SAS, société par actions simplifiée",5710,45.11Z,Commerce de voitures et de véhicules automobiles légers,Commerce et réparation d'automobiles et de motocycles,21,50,99,2023,1955-01-01,MORIGNY-CHAMPIGNY,91150,91433,RTE NATIONALE 20,LD MALLASSIS,91
797426376,79742637600027,STILLA TECHNOLOGIES SAS,True,0,Inscrit,"SAS, société par actions simplifiée",5710,71.12B,"Ingénierie, études techniques",Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,21,50,99,2023,2013-09-13,VILLEJUIF,94800,94076,1 MAIL DU PARV DU PR GEORGES MATHE,,91
827978743,82797874300058,OLANO LENS,True,0,Inscrit,"SAS, société par actions simplifiée",5710,49.41B,Transports routiers de fret de proximité,Transports terrestres et transport par conduites,22,100,199,2022,2017-02-27,SAINT-JEAN-DE-LUZ,64500,64483,24 AVENUE DE JALDAY,ZONE INDUSTRIELLE DE JALDAY,91
489911446,48991144600016,KUEHNE   NAGEL AEROSPACE ET INDUSTRY,True,0,Inscrit,"SASU, société par actions simplifiée unipersonnelle",5720,52.29B,Affrètement et organisation des transports,Entreposage et services auxiliaires des transports,21,50,99,2022,2006-05-22,FERRIERES-EN-BRIE,77164,77181,PARC ZAC DES HAUTS DE FERRIERES,PARC D'ACTIVITES DU NID A GRIVES,91
381657493,38165749300270,ASSOCIATION MEDICO PSYCHO PEDAGOGIQUE VIALA - AMPP VIALA,True,0,Non inscrit,Association déclarée,9220,88.99B,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement,22,100,199,2022,1991-03-01,PARIS,75013,75113,96 BOULEVARD AUGUSTE BLANQUI,,91
130028681,13002868100026,"DDETS DIRECTION DEPARTEMENTALE DE L'EMPLOI, DU TRAVAIL ET DES SOLIDARITES ESSONNE",True,0,Non inscrit,Service déconcentré de l'État à compétence (inter) départementale,7172,84.12Z,"Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale",Administration publique et défense ; sécurité sociale obligatoire,22,100,199,2022,2021-04-01,EVRY-COURCOURONNES,91000,91228,98 ALL DES CHAMPS ELYSEES,IMMEUBLE L'EUROPEEN,91
530128248,53012824800107,SODAIC,True,0,Inscrit,"SASU, société par actions simplifiée unipersonnelle",5720,81.29B,Autres activités de nettoyage n.c.a.,Services relatifs aux bâtiments et aménagement paysager,32,250,499,2023,2011-01-14,TREMBLAY-EN-FRANCE,93290,93073,1 RUE DE LA JEUNE FILLE,,91
305900219,30590021900141,EES - DYNAE EIFFAGE ENERGIE SYSTEMES - DYNAE,True,0,Inscrit,SA à conseil d'administration (s.a.i.),5599,71.12B,"Ingénierie, études techniques",Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,21,50,99,2023,1983-05-01,VILLEFONTAINE,38090,38553,29 RUE CONDORCET,PARC TECHNOLOGIQUE NORD,91
219102498,21910249800017,COMMUNE DE FORGES LES BAINS,True,0,Non inscrit,Commune et commune nouvelle,7210,84.11Z,Administration publique générale,Administration publique et défense ; sécurité sociale obligatoire,21,50,99,2022,1980-01-01,FORGES-LES-BAINS,91470,91249,9 RUE DU DOCTEUR BABIN,,91
803953777,80395377700015,CH-WAUTERS ET FILS,True,0,Inscrit,"SAS, société par actions simplifiée",5710,17.21B,Fabrication de cartonnages,Industrie du papier et du carton,21,50,99,2022,2014-08-06,VILLEBON-SUR-YVETTE,91140,91661,LA PRAIRIE DE VILLEBON,,91
320585185,32058518500087,TERIDEAL L'EDEN VERT,True,0,Inscrit,"SAS, société par actions simplifiée",5710,81.30Z,Services d'aménagement paysager,Services relatifs aux bâtiments et aménagement paysager,21,50,99,2022,1981-01-01,RUNGIS,94150,94065,3 PLACE GUSTAVE EIFFEL,IMMEUBLE FLOREN,91
429446701,42944670100048,NET HORIZON,True,0,Inscrit,"SAS, société par actions simplifiée",5710,81.21Z,Nettoyage courant des bâtiments,Services relatifs aux bâtiments et aménagement paysager,31,200,249,2022,2000-01-26,PARAY-VIEILLE-POSTE,91550,91479,1 RUE MARCEL VAISSE,,91
479309544,47930954400035,RESIDENCE DU PLATEAU,True,0,Inscrit,"SAS, société par actions simplifiée",5710,87.10A,Hébergement médicalisé pour personnes âgées,Hébergement médico-social et social,21,50,99,2022,2004-10-20,ATHIS-MONS,91200,91027,1 B RUE PAUL VAILLANT COUTURIER,,91
453874687,45387468700081,OPERIS,True,0,Inscrit,"SAS, société par actions simplifiée",5710,58.29C,Édition de logiciels applicatifs,Édition,22,100,199,2023,2004-05-17,ORVAULT,44700,44114,130 AVENUE CLAUDE ANTOINE PECCOT,,91
300300290,30030029000172,FLUIDRA COMMERCIAL FRANCE,True,0,Inscrit,"SASU, société par actions simplifiée unipersonnelle",5720,46.73B,Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de décoration,"Commerce de gros, à l'exception des automobiles et des motocycles",32,250,499,2023,1974-01-01,PERPIGNAN,66000,66136,AVENUE MAURICE BELLONTE,,91
545650202,54565020200025,AIT AGRO INGREDIENTS TECHNOLOGY,True,0,Inscrit,"SASU, société par actions simplifiée unipersonnelle",5720,10.89Z,Fabrication d'autres produits alimentaires n.c.a.,Industries alimentaires,22,100,199,2022,1956-01-01,CORBEIL-ESSONNES,91100,91174,7 QUAI DE L’APPORT PARIS,,91
417790797,41779079700019,ACE AUTOMOBILES DE CORBEIL ESSONNES,True,0,Inscrit,SA à conseil d'administration (s.a.i.),5599,45.11Z,Commerce de voitures et de véhicules automobiles légers,Commerce et réparation d'automobiles et de motocycles,21,50,99,2022,1998-03-09,CORBEIL-ESSONNES,91100,91174,7 RUE JACQUES ANQUETIL,LES COQUIBUS,91
443971791,44397179100035,GTIE TERTIAIRE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,43.21A,Travaux d'installation électrique dans tous locaux,Travaux de construction spécialisés,21,50,99,2022,2002-10-29,CHAMPLAN,91160,91136,5 ALLEE DES VIGNES,5-7-ZA DES POUARDS,91
791917230,79191723000041,PUF PRESSES UNIVERSITAIRES DE FRANCE,True,0,Inscrit,SA à conseil d'administration (s.a.i.),5599,58.11Z,Édition de livres,Édition,22,100,199,2023,2013-02-28,PARIS,75014,75114,170 B BOULEVARD DU MONTPARNASSE,,91
596120378,59612037800010,AEB SOCIETE D'EXPLOITATION DES ANCIENS ETABLISSEMENTS BRANGER,True,0,Inscrit,"SAS, société par actions simplifiée",5710,77.32Z,Location et location-bail de machines et équipements pour la construction,Activités de location et location-bail,32,250,499,2022,1961-01-01,MONTHOU-SUR-CHER,41400,41146,11 ROUTE DE BLOIS,,91
785190760,78519076000047,SOC FRANCAISE NETTOYAGE,True,0,Inscrit,"SARL, société à responsabilité limitée",5499,81.21Z,Nettoyage courant des bâtiments,Services relatifs aux bâtiments et aménagement paysager,21,50,99,2022,1974-01-01,PARIS,75012,75112,266 AVENUE DAUMESNIL,,91
381523901,38152390100043,INDENA S.A.S.,True,0,Inscrit,"SAS, société par actions simplifiée",5710,10.89Z,Fabrication d'autres produits alimentaires n.c.a.,Industries alimentaires,22,100,199,2022,1991-03-28,TOURS,37100,37261,38 AVENUE GUSTAVE EIFFEL,,91
400894424,40089442400011,SILVE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,71.12B,"Ingénierie, études techniques",Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,21,50,99,2022,1995-04-04,PARIS,75015,75115,24 RUE AUGUSTE CHABRIERES,,91
959200262,95920026200043,SIMP SOCIETE INDUSTRIELLE DE MATIERES PLASTIQUES,True,0,Inscrit,"SAS, société par actions simplifiée",5710,22.19Z,Fabrication d'autres articles en caoutchouc,Fabrication de produits en caoutchouc et en plastique,21,50,99,2022,1959-01-01,TIGERY,91250,91617,4 RUE CAMILLE DECAUVILLE,ZAC DU PLESSIS SAUCOURT,91
393533872,39353387200023,WHEELABRATOR GROUP,True,0,Inscrit,"SAS, société par actions simplifiée",5710,33.12Z,Réparation de machines et équipements mécaniques,Réparation et installation de machines et d'équipements,21,50,99,2023,1994-01-11,CHARLEVILLE-MEZIERES,08000,08105,20 B RUE CAMILLE DIDIER,,91
219103769,21910376900010,COMMUNE DE MAROLLES EN HUREPOIX,True,0,Non inscrit,Commune et commune nouvelle,7210,84.11Z,Administration publique générale,Administration publique et défense ; sécurité sociale obligatoire,22,100,199,2022,1980-01-01,MAROLLES-EN-HUREPOIX,91630,91376,1 AVENUE CHARLES DE GAULLE,,91
